,pluno,bndno,type5,type4,type3,type2,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
10100,22021004,22021004,22021,2202,220,22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2819999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8195,22021005,22021005,22021,2202,220,22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.596,0.0,2.452,5.351999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8130,22021008,22021008,22021,2202,220,22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.852,0.83,0.0,0.0,0.0,0.894,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14279,22021009,22021009,22021,2202,220,22,0.0,0.0,0.0,0.0,0.0,1.32,0.0,0.0,0.596,0.001,0.0,0.803,0.0,0.0,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0.0,0.0
7587,22021010,22021010,22021,2202,220,22,0.0,0.0,0.0,0.0,0.0,0.0,1.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.344,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10221,22021011,22021011,22021,2202,220,22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14264,22021016,22021016,22021,2202,220,22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.252,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
125,22021260,22021260,22021,2202,220,22,4.564,10.080999999999998,7.819000000000001,2.638,1.678,3.2439999999999998,2.35,0.0,0.0,0.5630000000000001,0.0,3.646,0.001,1.8629999999999998,0.0,2.496,0.0,0.0,2.698,1.49,0.0,7.79,0.0,0.0,0.0,0.0
841,22021268,22021268,22021,2202,220,22,0.0,0.0,0.0,0.0,0.0,0.402,0.0,0.0,0.0,0.0,0.0,0.59,1.706,0.638,8.752,3.2399999999999998,2.4859999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12332,22021276,22021276,22021,2202,220,22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.054,6.46,0.0,0.0,0.0,0.0,0.63,0.0,0.0,0.0,0.0,0.0
13082,22030000,22030000,22030,2203,220,22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.262,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13598,22030005,22030005,22030,2203,220,22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.028,0.0,1.6280000000000001,1.652,2.932
12884,22030008,22030008,22030,2203,220,22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.878,0.0,0.0,0.0,1.26,0.546,0.652,0.5660000000000001,2.6340000000000003,1.984,1.974
7804,22030010,22030010,22030,2203,220,22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.0,1.024,0.0,0.0
14205,22030011,22030011,22030,2203,220,22,1.544,0.0,0.6920000000000001,1.43,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.0,1.642,0.0,0.6759999999999999,0.0,0.38799999999999996,0.0,1.73,3.5439999999999996,4.524,5.726,9.368
1030,22030050,22030050,22030,2203,220,22,0.966,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13435,22032000,22032000,22032,2203,220,22,3.38,0.0,2.466,1.5419999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8475,22032012,22032012,22032,2203,220,22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004,0.002,0.008,0.0,0.0,0.0
4363,22032015,22032015,22032,2203,220,22,0.0,0.0,0.0,1.5759999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13094,22034000,22034000,22034,2203,220,22,0.6859999999999999,1.72,4.126,1.86,0.9630000000000001,5.196000000000001,1.1840000000000002,1.072,1.7320000000000002,4.65,0.0,0.0,1.814,3.064,2.308,0.0,0.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9731,22034001,22034001,22034,2203,220,22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.834,0.0,1.3019999999999998
13481,22034002,22034002,22034,2203,220,22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9339999999999999,0.0,0.8320000000000001
13597,22034003,22034003,22034,2203,220,22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9226,22034004,22034004,22034,2203,220,22,0.0,0.0,0.0,0.0,2.92,0.0,0.0,1.056,0.0,0.9,0.0,0.0,0.0,0.722,0.0,1.328,0.0,0.506,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10099,22034006,22034006,22034,2203,220,22,0.0,0.0,0.0,0.0,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13860,22034007,22034007,22034,2203,220,22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3780000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
981,22034021,22034021,22034,2203,220,22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6659999999999999,0.0,0.0,0.0
19251,22034026,22034026,22034,2203,220,22,0.0,0.0,0.0,0.81,5.996,3.3499999999999996,0.952,3.11,0.0,0.0,0.0,0.0,0.0,5.4559999999999995,4.0,0.0,3.356,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13271,22035000,22035000,22035,2203,220,22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.456,0.78,12.942,9.188,1.492,0.344,3.160999999999999,0.57,0.0,1.402,0.0
