,pluno,bndno,type5,type4,type3,type2,0,1,2,3,4,5
8111,22103011,22103011,22103,2210,221,22,2.8979999999999997,4.568,0.7959999999999999,1.552,1.43,6.6080000000000005
14287,22103012,22103012,22103,2210,221,22,0.0,0.0,0.0,0.0,1.5519999999999998,0.0
317,22103013,22103013,22103,2210,221,22,1.444,0.48,0.348,0.0,0.606,0.584
8357,22110003,22110003,22110,2211,221,22,2.9299999999999997,2.52,0.0,0.43,0.0,0.0
13690,22110004,22110004,22110,2211,221,22,0.562,0.444,0.0,0.0,0.0,3.202
12972,22110005,22110005,22110,2211,221,22,0.0,3.5540000000000003,0.0,0.0,0.0,0.0
10953,22110085,22110085,22110,2211,221,22,0.606,0.0,0.0,0.602,0.0,1.176
11147,22111001,22111001,22111,2211,221,22,0.0,0.0,0.0,7.834,2.888,0.0
10941,22111004,22111004,22111,2211,221,22,17.01,4.6819999999999995,14.074000000000002,5.7780000000000005,18.042,6.643999999999999
8729,22111006,22111006,22111,2211,221,22,1.842,0.0,0.542,1.4660000000000002,0.6940000000000001,1.226
7629,22111008,22111008,22111,2211,221,22,2.598,5.1979999999999995,1.783,0.706,1.014,3.1599999999999997
1594,22111012,22111012,22111,2211,221,22,1.276,0.364,2.5620000000000003,1.422,2.476,4.412
9097,22111015,22111015,22111,2211,221,22,3.388,3.516,2.028,0.456,0.0,0.0
12909,22111018,22111018,22111,2211,221,22,0.0,3.0620000000000003,0.005,0.0,0.0,0.0
14668,22111024,22111024,22111,2211,221,22,0.0,0.0,0.0,0.298,0.364,0.0
15376,22111025,22111025,22111,2211,221,22,0.0,3.0519999999999996,0.5820000000000001,0.0,0.0,0.0
11105,22111026,22111026,22111,2211,221,22,5.228000000000001,3.6060000000000003,2.168,1.1179999999999999,1.8159999999999998,2.394
15942,22111028,22111028,22111,2211,221,22,2.88,0.682,0.0,0.0,0.0,0.0
10968,22111029,22111029,22111,2211,221,22,2.128,0.23800000000000002,1.292,2.08,0.402,0.298
10879,22111031,22111031,22111,2211,221,22,2.412,0.518,2.964,2.5999999999999996,8.482,2.034
8607,22111034,22111034,22111,2211,221,22,0.0,0.8860000000000001,0.0,0.344,0.0,0.0
13133,22120003,22120003,22120,2212,221,22,0.001,0.001,0.0,0.0,0.0,0.0
13163,22120004,22120004,22120,2212,221,22,12.876000000000001,1.2040000000000002,0.0,0.0,0.0,0.0
9262,22120005,22120005,22120,2212,221,22,4.64,0.586,0.646,0.49,0.292,0.382
14501,22120015,22120015,22120,2212,221,22,0.549,0.0,0.0,0.0,0.0,0.0
669,22120016,22120016,22120,2212,221,22,0.276,0.0,0.086,0.0,0.0,0.0
690,22120017,22120017,22120,2212,221,22,0.5980000000000001,0.0,0.0,0.0,0.0,0.0
15396,22120028,22120028,22120,2212,221,22,1.4060000000000001,2.092,1.2320000000000002,0.9,0.0,0.0
15761,22120039,22120039,22120,2212,221,22,2.6919999999999997,2.3760000000000003,1.028,0.54,0.0,0.0
10956,22120044,22120044,22120,2212,221,22,2.0,272.0,0.0,0.0,0.0,0.0
22323,22120055,22120055,22120,2212,221,22,0.0,0.0,0.627,0.09,0.0,0.0
7848,22130000,22130000,22130,2213,221,22,2.786,7.282000000000001,3.544,0.28600000000000003,0.44199999999999995,1.4000000000000001
9892,22130003,22130003,22130,2213,221,22,0.0,0.382,0.98,0.0,0.0,0.374
8030,22130007,22130007,22130,2213,221,22,2.602,2.718,2.775,0.73,1.074,0.464
13127,22130010,22130010,22130,2213,221,22,1.9979999999999998,1.969,3.896,0.0,0.0,0.0
8868,22130011,22130011,22130,2213,221,22,1.4360000000000002,0.7070000000000001,2.761,0.44,0.001,0.0
8086,22130012,22130012,22130,2213,221,22,0.0,4.2,0.0,0.0,0.0,0.0
14109,22130016,22130016,22130,2213,221,22,2.712,2.572,0.544,3.476,1.326,0.6739999999999999
13993,22130017,22130017,22130,2213,221,22,4.542999999999999,2.191,4.15,1.264,0.29000000000000004,0.284
13640,22130018,22130018,22130,2213,221,22,0.321,0.778,0.766,0.0,0.0,0.0
14275,22130022,22130022,22130,2213,221,22,0.20800000000000002,0.0,0.0,0.0,0.0,0.0
9719,22130029,22130029,22130,2213,221,22,0.0,0.764,0.0,0.0,0.7590000000000001,1.266
8725,22131003,22131003,22131,2213,221,22,0.0,0.428,0.0,0.0,0.0,0.0
8189,22131004,22131004,22131,2213,221,22,0.0,0.244,1.38,0.0,0.0,0.0
14199,22131005,22131005,22131,2213,221,22,0.0,0.27,0.244,0.0,0.0,0.0
15788,22132008,22132008,22132,2213,221,22,0.0,0.0,0.172,0.0,0.0,0.0
15635,22132010,22132010,22132,2213,221,22,1.1389999999999998,1.152,1.1520000000000001,0.596,0.496,0.46799999999999997
11197,22160001,22160001,22160,2216,221,22,1.46,0.41,0.5720000000000001,0.0,0.0,2.056
13053,22170000,22170000,22170,2217,221,22,0.0,0.0,0.0,0.0,0.14400000000000002,0.0
1717,22170001,22170001,22170,2217,221,22,4.4879999999999995,2.59,1.93,2.2380000000000004,2.154,1.974
14470,22170003,22170003,22170,2217,221,22,0.0,0.384,0.482,0.756,0.19,0.0
7406,22170004,22170004,22170,2217,221,22,0.0,0.11800000000000001,0.0,0.0,0.0,0.0
8869,22171000,22171000,22171,2217,221,22,2.6620000000000004,0.7240000000000001,0.0,0.604,0.192,0.0
1500,22171002,22171002,22171,2217,221,22,0.0,0.0,0.10800000000000001,0.256,0.614,0.258
12907,22171004,22171004,22171,2217,221,22,1.1,0.674,0.734,0.392,1.3860000000000001,1.074
149,22171005,22171005,22171,2217,221,22,0.0,0.0,0.0,0.0,0.0,0.308
8216,22172000,22172000,22172,2217,221,22,2.8040000000000003,0.302,3.9699999999999998,3.0260000000000002,0.0,0.0
13797,22172001,22172001,22172,2217,221,22,0.0,0.0,0.0,0.0,0.0,0.43799999999999994
14044,22172002,22172002,22172,2217,221,22,1.01,0.0,0.0,0.0,0.0,0.0
9110,22172003,22172003,22172,2217,221,22,0.0,0.0,1.4220000000000002,0.726,2.4700000000000006,0.0
8076,22172004,22172004,22172,2217,221,22,0.0,0.001,1.312,0.0,0.0,0.0
13309,22172005,22172005,22172,2217,221,22,1.2930000000000001,0.168,0.21000000000000002,0.272,0.0,0.0
7309,22172006,22172006,22172,2217,221,22,1.0179999999999998,0.76,0.0,0.506,0.252,0.0
12918,22172007,22172007,22172,2217,221,22,3.9320000000000004,3.5040000000000004,2.16,0.936,1.77,0.638
9136,22172008,22172008,22172,2217,221,22,2.378,1.018,1.59,3.106,2.066,0.0
569,22172010,22172010,22172,2217,221,22,0.638,0.0,0.0,0.0,0.0,0.0
13065,22172012,22172012,22172,2217,221,22,0.5640000000000001,0.365,0.5379999999999999,0.41400000000000003,0.619,0.8180000000000001
9747,22172013,22172013,22172,2217,221,22,0.32600000000000007,0.034,0.0,0.0,0.0,0.0
7418,22180002,22180002,22180,2218,221,22,0.0,2.138,0.39399999999999996,0.0,0.33,0.436
13871,22180003,22180003,22180,2218,221,22,1.392,1.3279999999999998,0.36200000000000004,0.0,0.0,0.0
15740,22190000,22190000,22190,2219,221,22,9.032000000000002,7.078,3.162,0.006,0.428,0.005
14917,22190002,22190002,22190,2219,221,22,1.8820000000000001,0.214,0.784,0.20800000000000002,0.0,0.182
13757,22500001,22500001,22500,2250,225,22,0.0,0.0,0.914,0.6920000000000001,0.0,0.9440000000000001
1837,22500022,22500022,22500,2250,225,22,3.5380000000000003,18.192,12.753999999999998,25.883999999999997,28.233999999999998,7.868
580,22500056,22500056,22500,2250,225,22,0.001,0.0,0.0,0.0,0.0,0.003
1152,22500072,22500072,22500,2250,225,22,1.328,7.968000000000001,0.0,0.0,0.0,1.328
18817,22500092,22500092,22500,2250,225,22,0.0,0.0,0.0,0.001,0.0,0.0
18994,22500094,22500094,22500,2250,225,22,0.0,3.63,0.6519999999999999,0.31,0.0,0.0
4362,22500099,22500099,22500,2250,225,22,0.001,0.0,0.0,0.0,0.0,0.0
19330,22500101,22500101,22500,2250,225,22,0.0,0.009000000000000001,0.0,0.0,0.0,0.0
16903,22501003,22501003,22501,2250,225,22,0.0,0.0,0.742,0.62,0.0,0.0
1220,22501065,22501065,22501,2250,225,22,0.0,0.0,0.0,0.0,0.0,0.122
4406,22503000,22503000,22503,2250,225,22,386.0,0.632,0.0,0.7,0.0,0.0
768,22511000,22511000,22511,2251,225,22,0.44799999999999995,1.354,0.616,0.44,0.42200000000000004,0.0
1429,22511001,22511001,22511,2251,225,22,0.0,0.0,0.0,392.0,0.0,0.0
7597,22520002,22520002,22520,2252,225,22,0.0,15.0,0.0,0.0,0.0,0.0
498,22600000,22600000,22600,2260,226,22,15.212,3.31,0.0,24.65,20.226000000000003,11.586
1652,22600002,22600002,22600,2260,226,22,5.672000000000001,1.1340000000000001,14.312000000000001,18.558,17.158,13.348
15441,22601000,22601000,22601,2260,226,22,22.924,10.4,25.034,12.926000000000002,6.846,15.342000000000002
14992,22601002,22601002,22601,2260,226,22,0.0,0.0,0.0,0.0,3.708,0.0
15114,22601044,22601044,22601,2260,226,22,0.0,0.96,0.0,0.0,0.0,0.0
15168,22602000,22602000,22602,2260,226,22,0.33,0.628,0.0,0.0,0.0,0.43200000000000005
15086,22602001,22602001,22602,2260,226,22,0.0,0.8640000000000001,0.0,0.0,0.0,0.0
15203,22603000,22603000,22603,2260,226,22,0.0,0.74,2.696,7.696000000000001,1.486,3.2880000000000003
15053,22603001,22603001,22603,2260,226,22,1.1,0.0,0.0,2.09,4.982,0.0
15208,22603002,22603002,22603,2260,226,22,0.254,0.0,0.0,0.0,0.892,0.0
14996,22604000,22604000,22604,2260,226,22,0.43799999999999994,0.0,0.6,2.612,3.2699999999999996,3.5079999999999996
15327,22610000,22610000,22610,2261,226,22,0.0,0.0,0.67,0.0,0.0,0.6579999999999999
15367,22610002,22610002,22610,2261,226,22,0.48,1.05,1.3479999999999999,0.0,0.49200000000000005,0.544
15016,22610003,22610003,22610,2261,226,22,0.0,0.0,0.0,0.0,0.284,0.0
11323,22610004,22610004,22610,2261,226,22,0.0,0.0,0.0,0.0,0.914,0.9940000000000001
778,22610103,22610103,22610,2261,226,22,0.0,0.0,0.0,3.226,0.3,2.31
15209,22620000,22620000,22620,2262,226,22,0.0,0.622,0.0,0.0,0.0,0.0
15303,22620012,22620012,22620,2262,226,22,0.0,0.0,0.0,0.0,0.0,0.826
15059,22621000,22621000,22621,2262,226,22,0.358,0.0,0.622,0.0,0.0,0.0
15027,22621002,22621002,22621,2262,226,22,0.0,0.0,0.0,0.386,0.964,1.134
15416,22622000,22622000,22622,2262,226,22,0.0,0.0,0.0,0.0,0.0,1.024
15419,22622001,22622001,22622,2262,226,22,0.0,0.0,0.0,0.0,0.0,0.426
15183,22630000,22630000,22630,2263,226,22,0.562,0.7859999999999999,0.0,1.0,0.7,0.574
15155,22630002,22630002,22630,2263,226,22,0.0,0.0,0.682,0.0,0.0,0.0
15074,22630004,22630004,22630,2263,226,22,0.0,1.07,0.0,0.0,0.0,0.0
15080,22630007,22630007,22630,2263,226,22,0.0,0.0,0.0,0.0,0.0,0.43200000000000005
15015,22630008,22630008,22630,2263,226,22,0.0,1.006,0.324,0.0,0.0,0.0
15221,22630009,22630009,22630,2263,226,22,0.0,0.9540000000000001,1.408,4.093999999999999,1.3599999999999999,5.284
15452,22630010,22630010,22630,2263,226,22,0.0,0.0,0.166,1.424,5.0440000000000005,1.3980000000000001
15106,22630013,22630013,22630,2263,226,22,0.32799999999999996,0.0,0.0,0.0,0.0,1.024
15134,22630049,22630049,22630,2263,226,22,1.3739999999999999,0.0,0.0,0.0,1.056,1.8119999999999998
15088,22631002,22631002,22631,2263,226,22,1.438,1.204,1.5939999999999999,3.5719999999999996,1.284,0.5860000000000001
15167,22631004,22631004,22631,2263,226,22,0.47200000000000003,0.31,0.0,0.0,0.0,0.0
15126,22631005,22631005,22631,2263,226,22,0.8360000000000001,1.026,0.0,0.318,0.0,0.0
19423,22671051,22671051,22671,2267,226,22,1.08,0.0,0.0,0.0,0.0,0.0
19436,22671053,22671053,22671,2267,226,22,0.0,0.722,1.454,0.0,0.0,0.992
