,pluno,mybndno,type5,type4,type3,type2,0,1,2,3,4,5
14096,22001000,2054,22001,2200,220,22,0.0,0.982,0.0,0.0,0.0,0.0
14120,22001000,7555,22001,2200,220,22,0.0,0.0,0.0,0.0,0.0,0.376
14099,22001000,7959,22001,2200,220,22,0.0,0.0,0.0,0.0,0.0,0.266
9064,22001001,1984,22001,2200,220,22,0.0,1.932,0.0,0.0,0.0,0.0
9063,22001001,1994,22001,2200,220,22,0.0,1.28,0.0,0.0,0.0,0.0
9048,22001001,1996,22001,2200,220,22,0.0,1.8719999999999999,0.0,0.0,0.0,0.0
9041,22001001,2151,22001,2200,220,22,0.0,2.8819999999999997,0.0,0.0,0.0,0.0
9042,22001001,2190,22001,2200,220,22,0.0,1.0959999999999999,0.0,0.0,0.0,0.0
9046,22001001,2406,22001,2200,220,22,0.0,0.636,0.0,0.0,0.0,0.0
9044,22001001,2443,22001,2200,220,22,0.0,1.314,0.0,0.0,0.0,0.0
9055,22001001,2538,22001,2200,220,22,0.0,0.7040000000000001,0.0,0.0,0.0,0.0
9043,22001001,2608,22001,2200,220,22,0.0,0.914,0.0,0.0,0.0,0.0
9045,22001001,2750,22001,2200,220,22,0.0,0.96,0.0,0.0,0.0,0.0
9049,22001001,2783,22001,2200,220,22,0.0,0.948,0.0,0.0,0.0,0.0
9047,22001001,3238,22001,2200,220,22,0.0,0.0,1.396,0.0,0.0,0.0
9051,22001001,7394,22001,2200,220,22,0.0,0.0,0.0,0.0,0.0,1.23
9050,22001001,7988,22001,2200,220,22,0.0,0.0,0.0,0.0,0.0,0.55
12964,22001003,1397,22001,2200,220,22,0.868,0.0,0.0,0.0,0.0,0.0
8669,22001006,3261,22001,2200,220,22,0.0,0.0,1.328,0.0,0.0,0.0
8705,22001006,3303,22001,2200,220,22,0.0,0.0,1.1840000000000002,0.0,0.0,0.0
8682,22001006,3381,22001,2200,220,22,0.0,0.0,1.5859999999999999,0.0,0.0,0.0
8674,22001006,3485,22001,2200,220,22,0.0,0.0,1.94,0.0,0.0,0.0
8677,22001006,3488,22001,2200,220,22,0.0,0.0,0.72,0.0,0.0,0.0
8678,22001006,3512,22001,2200,220,22,0.0,0.0,0.87,0.0,0.0,0.0
8675,22001006,3649,22001,2200,220,22,0.0,0.0,1.496,0.0,0.0,0.0
8672,22001006,3678,22001,2200,220,22,0.0,0.0,0.516,0.0,0.0,0.0
8673,22001006,3698,22001,2200,220,22,0.0,0.0,0.89,0.0,0.0,0.0
8710,22001006,3825,22001,2200,220,22,0.0,0.0,0.512,0.0,0.0,0.0
8676,22001006,3837,22001,2200,220,22,0.0,0.0,2.116,0.0,0.0,0.0
8681,22001006,3847,22001,2200,220,22,0.0,0.0,0.574,0.0,0.0,0.0
8685,22001006,3865,22001,2200,220,22,0.0,0.0,0.82,0.0,0.0,0.0
8687,22001006,3911,22001,2200,220,22,0.0,0.0,1.262,0.0,0.0,0.0
8694,22001006,3915,22001,2200,220,22,0.0,0.0,1.81,0.0,0.0,0.0
8667,22001006,4000,22001,2200,220,22,0.0,0.0,1.604,0.0,0.0,0.0
8670,22001006,4004,22001,2200,220,22,0.0,0.0,0.9279999999999999,0.0,0.0,0.0
8666,22001006,4012,22001,2200,220,22,0.0,0.0,1.518,0.0,0.0,0.0
8703,22001006,4046,22001,2200,220,22,0.0,0.0,2.024,0.0,0.0,0.0
8719,22001006,4205,22001,2200,220,22,0.0,0.0,1.598,0.0,0.0,0.0
8695,22001006,4225,22001,2200,220,22,0.0,0.0,0.5920000000000001,0.0,0.0,0.0
8692,22001006,4355,22001,2200,220,22,0.0,0.0,0.0,2.804,0.0,0.0
8718,22001006,4372,22001,2200,220,22,0.0,0.0,0.0,0.65,0.0,0.0
8886,22001006,4496,22001,2200,220,22,0.0,0.0,0.0,1.146,0.0,0.0
8688,22001006,4502,22001,2200,220,22,0.0,0.0,0.0,1.05,0.0,0.0
8683,22001006,4541,22001,2200,220,22,0.0,0.0,0.0,0.542,0.0,0.0
8689,22001006,4545,22001,2200,220,22,0.0,0.0,0.0,1.702,0.0,0.0
8684,22001006,4561,22001,2200,220,22,0.0,0.0,0.0,3.082,0.0,0.0
8690,22001006,4596,22001,2200,220,22,0.0,0.0,0.0,1.8619999999999999,0.0,0.0
8774,22001006,4738,22001,2200,220,22,0.0,0.0,0.0,0.74,0.0,0.0
8671,22001006,4804,22001,2200,220,22,0.0,0.0,0.0,1.3419999999999999,0.0,0.0
8664,22001006,5320,22001,2200,220,22,0.0,0.0,0.0,0.912,0.0,0.0
8663,22001006,5415,22001,2200,220,22,0.0,0.0,0.0,0.8220000000000001,0.0,0.0
8657,22001006,5445,22001,2200,220,22,0.0,0.0,0.0,0.826,0.0,0.0
8660,22001006,5474,22001,2200,220,22,0.0,0.0,0.0,0.6459999999999999,0.0,0.0
8662,22001006,5724,22001,2200,220,22,0.0,0.0,0.0,0.852,0.0,0.0
8817,22001006,7067,22001,2200,220,22,0.0,0.0,0.0,0.0,0.0,0.978
8883,22001006,7214,22001,2200,220,22,0.0,0.0,0.0,0.0,0.0,1.078
8711,22001008,881,22001,2200,220,22,1.808,0.0,0.0,0.0,0.0,0.0
8709,22001008,889,22001,2200,220,22,1.21,0.0,0.0,0.0,0.0,0.0
8716,22001008,1048,22001,2200,220,22,1.07,0.0,0.0,0.0,0.0,0.0
8715,22001008,1053,22001,2200,220,22,0.706,0.0,0.0,0.0,0.0,0.0
8723,22001008,1409,22001,2200,220,22,1.5019999999999998,0.0,0.0,0.0,0.0,0.0
9191,22001008,2067,22001,2200,220,22,0.0,1.256,0.0,0.0,0.0,0.0
9195,22001008,2113,22001,2200,220,22,0.0,1.324,0.0,0.0,0.0,0.0
9201,22001008,2189,22001,2200,220,22,0.0,1.736,0.0,0.0,0.0,0.0
9193,22001008,2423,22001,2200,220,22,0.0,3.4339999999999997,0.0,0.0,0.0,0.0
9185,22001008,2618,22001,2200,220,22,0.0,0.97,0.0,0.0,0.0,0.0
9194,22001008,2625,22001,2200,220,22,0.0,1.296,0.0,0.0,0.0,0.0
9197,22001008,2964,22001,2200,220,22,0.0,0.0,1.5019999999999998,0.0,0.0,0.0
9190,22001008,3968,22001,2200,220,22,0.0,0.0,1.09,0.0,0.0,0.0
8300,22001012,7004,22001,2200,220,22,0.0,0.0,0.0,0.0,0.0,0.546
14973,22001038,247,22001,2200,220,22,1.18,0.0,0.0,0.0,0.0,0.0
14979,22001038,308,22001,2200,220,22,0.758,0.0,0.0,0.0,0.0,0.0
14978,22001038,394,22001,2200,220,22,0.8959999999999999,0.0,0.0,0.0,0.0,0.0
14991,22001038,399,22001,2200,220,22,1.834,0.0,0.0,0.0,0.0,0.0
15008,22001038,572,22001,2200,220,22,0.84,0.0,0.0,0.0,0.0,0.0
